segment,segment_local_departure_date,weekday,cabin_class,meal_time,meal_name,original_meal_count,original_passengers,original_percent,predicted_meal_count,predicted_total_passengers,predicted_percentage,protein_type
BKK JFK,2024-08-07,Wednesday,S,Dinner,5C24 BKK SCL Soya Chicken Rice,26,53,49.06,37.0,52.0,71.15,Chicken
BKK JFK,2024-08-07,Wednesday,S,Lunch,"5C24 BKK SCL Beef Bourguignon, bacon, mushroom, carrot, haricot, potato gratin",27,53,50.94,30.0,52.0,57.69,Beef
BKK JFK,2024-08-07,Wednesday,S,Lunch,"5C24 BKK SCL Thai Crab Curry, Mixed Cargo Rice",26,53,49.06,22.0,52.0,42.31,Seafood
BKK JFK,2024-08-07,nan,S,Refreshments,Montevibbiano Pizza - Margherita,73,73,100.0,,,,nan
BKK JFK,2024-08-08,Thursday,S,Dinner,"5C24 BKK SCL Pan Fried Seabass Provencal Sc, Fresh Broccolini carrot, Corn and Herb Pilaf",25,49,51.02,15.0,50.0,30.0,Seafood
BKK JFK,2024-08-08,Thursday,S,Dinner,5C24 BKK SCL Soya Chicken Rice,24,49,48.98,35.0,50.0,70.0,Chicken
BKK JFK,2024-08-08,Thursday,S,Lunch,"5C24 BKK SCL Thai Crab Curry, Mixed Cargo Rice",24,49,48.98,19.0,50.0,38.0,Seafood
BKK JFK,2024-08-08,Thursday,S,Lunch,"5C24 BKK SCL Beef Bourguignon, bacon, mushroom, carrot, haricot, potato gratin",25,49,51.02,31.0,50.0,62.0,Beef
BKK JFK,2024-08-08,nan,S,Refreshments,Montevibbiano Pizza - Margherita,76,76,100.0,,,,nan
BKK JFK,2024-08-09,Friday,S,Dinner,5C24 BKK SCL Soya Chicken Rice,18,36,50.0,24.0,35.0,68.57,Chicken
BKK JFK,2024-08-09,Friday,S,Dinner,"5C24 BKK SCL Pan Fried Seabass Provencal Sc, Fresh Broccolini carrot, Corn and Herb Pilaf",18,36,50.0,11.0,35.0,31.43,Seafood
BKK JFK,2024-08-09,Friday,S,Lunch,"5C24 BKK SCL Beef Bourguignon, bacon, mushroom, carrot, haricot, potato gratin",18,36,50.0,18.0,35.0,51.43,Beef
BKK JFK,2024-08-09,Friday,S,Lunch,"5C24 BKK SCL Thai Crab Curry, Mixed Cargo Rice",18,36,50.0,17.0,35.0,48.57,Seafood
BKK JFK,2024-08-09,nan,S,Refreshments,Montevibbiano Pizza - Margherita,66,66,100.0,,,,nan
