segment,segment_local_departure_date,weekday,cabin_class,meal_time,meal_name,original_meal_count,original_passengers,original_percent,predicted_meal_count,predicted_total_passengers,predicted_percentage,protein_type
SIN CDG,2025-06-03,Tuesday,Y,Dinner,5C24 SIN FFM Gong Bao Chicken with Steamed Rice,83,137,60.58,89,137,64.96,Chicken
SIN CDG,2025-06-03,Tuesday,Y,Lunch,"5C19 SIN FFM Sweet & Sour Basa Fish, Egg Fried Rice with Mixed Vegetables",54,137,39.42,48,137,35.04,Seafood
SIN CDG,2025-06-03,Tuesday,Y,Lunch,"5C19 SIN FFM Chicken Meatball Marinara, Fusili",83,137,60.58,89,137,64.96,Chicken
SIN CDG,2025-06-04,Wednesday,Y,Dinner,5C24 SIN FFM Gong Bao Chicken with Steamed Rice,83,137,60.58,91,132,68.94,Chicken
SIN CDG,2025-06-04,Wednesday,Y,Dinner,5C22 SIN FFM Poached Fish with Pasta in Dill Cream Sauce,54,137,39.42,41,132,31.06,Seafood
SIN CDG,2025-06-04,Wednesday,Y,Lunch,"5C19 SIN FFM Sweet & Sour Basa Fish, Egg Fried Rice with Mixed Vegetables",54,137,39.42,41,132,31.06,Seafood
SIN CDG,2025-06-04,Wednesday,Y,Lunch,"5C19 SIN FFM Chicken Meatball Marinara, Fusili",83,137,60.58,91,132,68.94,Chicken
SIN CDG,2025-06-05,Thursday,Y,Dinner,5C24 SIN FFM Gong Bao Chicken with Steamed Rice,95,158,60.13,105,156,67.31,Chicken
SIN CDG,2025-06-05,Thursday,Y,Dinner,5C22 SIN FFM Poached Fish with Pasta in Dill Cream Sauce,63,158,39.87,51,156,32.69,Seafood
SIN CDG,2025-06-05,Thursday,Y,Lunch,"5C19 SIN FFM Chicken Meatball Marinara, Fusili",95,158,60.13,106,156,67.95,Chicken
SIN CDG,2025-06-05,Thursday,Y,Lunch,"5C19 SIN FFM Sweet & Sour Basa Fish, Egg Fried Rice with Mixed Vegetables",63,158,39.87,50,156,32.05,Seafood
SIN CDG,2025-06-06,Friday,Y,Dinner,5C24 SIN FFM Gong Bao Chicken with Steamed Rice,91,151,60.26,95,147,64.63,Chicken
SIN CDG,2025-06-06,Friday,Y,Dinner,5C22 SIN FFM Poached Fish with Pasta in Dill Cream Sauce,60,151,39.74,52,147,35.37,Seafood
SIN CDG,2025-06-06,Friday,Y,Lunch,"5C19 SIN FFM Sweet & Sour Basa Fish, Egg Fried Rice with Mixed Vegetables",60,151,39.74,50,147,34.01,Seafood
SIN CDG,2025-06-06,Friday,Y,Lunch,"5C19 SIN FFM Chicken Meatball Marinara, Fusili",91,151,60.26,97,147,65.99,Chicken
SIN CDG,2025-06-07,Saturday,Y,Dinner,5C22 SIN FFM Poached Fish with Pasta in Dill Cream Sauce,60,151,39.74,49,147,33.33,Seafood
SIN CDG,2025-06-07,Saturday,Y,Dinner,5C24 SIN FFM Gong Bao Chicken with Steamed Rice,91,151,60.26,98,147,66.67,Chicken
SIN CDG,2025-06-07,Saturday,Y,Lunch,"5C19 SIN FFM Sweet & Sour Basa Fish, Egg Fried Rice with Mixed Vegetables",60,151,39.74,48,147,32.65,Seafood
SIN CDG,2025-06-07,Saturday,Y,Lunch,"5C19 SIN FFM Chicken Meatball Marinara, Fusili",91,151,60.26,99,147,67.35,Chicken
SIN CDG,2025-06-08,Sunday,Y,Dinner,5C24 SIN FFM Gong Bao Chicken with Steamed Rice,81,134,60.45,85,131,64.89,Chicken
SIN CDG,2025-06-08,Sunday,Y,Dinner,5C22 SIN FFM Poached Fish with Pasta in Dill Cream Sauce,53,134,39.55,46,131,35.11,Seafood
SIN CDG,2025-06-08,Sunday,Y,Lunch,"5C19 SIN FFM Sweet & Sour Basa Fish, Egg Fried Rice with Mixed Vegetables",53,134,39.55,45,131,34.35,Seafood
SIN CDG,2025-06-08,Sunday,Y,Lunch,"5C19 SIN FFM Chicken Meatball Marinara, Fusili",81,134,60.45,86,131,65.65,Chicken
SIN CDG,2025-06-09,Monday,Y,Dinner,5C22 SIN FFM Poached Fish with Pasta in Dill Cream Sauce,41,104,39.42,32,101,31.68,Seafood
SIN CDG,2025-06-09,Monday,Y,Dinner,5C24 SIN FFM Gong Bao Chicken with Steamed Rice,63,104,60.58,69,101,68.32,Chicken
SIN CDG,2025-06-09,Monday,Y,Lunch,"5C19 SIN FFM Chicken Meatball Marinara, Fusili",63,104,60.58,72,101,71.29,Chicken
SIN CDG,2025-06-09,Monday,Y,Lunch,"5C19 SIN FFM Sweet & Sour Basa Fish, Egg Fried Rice with Mixed Vegetables",41,104,39.42,29,101,28.71,Seafood
SIN CDG,2025-06-10,Tuesday,Y,Dinner,5C22 SIN FFM Poached Fish with Pasta in Dill Cream Sauce,31,78,39.74,23,74,31.08,Seafood
SIN CDG,2025-06-10,Tuesday,Y,Dinner,5C24 SIN FFM Gong Bao Chicken with Steamed Rice,47,78,60.26,51,74,68.92,Chicken
SIN CDG,2025-06-10,Tuesday,Y,Lunch,"5C19 SIN FFM Sweet & Sour Basa Fish, Egg Fried Rice with Mixed Vegetables",31,78,39.74,23,74,31.08,Seafood
