segment,segment_local_departure_date,weekday,cabin_class,meal_time,meal_name,original_meal_count,original_passengers,original_percent,predicted_meal_count,predicted_total_passengers,predicted_percentage,protein_type
BKK CDG,2025-04-16,Wednesday,Y,Lunch,5C19 BKK FFM Baked Fish with Herbed Sauce,54,137,39.42,41,135,30.37,Seafood
BKK CDG,2025-04-16,Wednesday,Y,Lunch,"5C19 BKK FFM Ginger Spring Onion Chicken, Braised Ee Fu Noodles, chye Sim, Carrot",83,137,60.58,94,135,69.63,Chicken
BKK CDG,2025-04-17,Thursday,Y,Dinner,5C22 BKK FFM Grilled Chicken Breast with Thyme Jus,100,166,60.24,107,159,67.3,Chicken
BKK CDG,2025-04-17,Thursday,Y,Dinner,"5C19 BKK FFM Fish in Hot Bean Sauce, Braised Noodles, oriental Veg",66,166,39.76,52,159,32.7,Seafood
BKK CDG,2025-04-17,Thursday,Y,Lunch,5C19 BKK FFM Baked Fish with Herbed Sauce,66,166,39.76,52,159,32.7,Seafood
BKK CDG,2025-04-17,Thursday,Y,Lunch,"5C19 BKK FFM Ginger Spring Onion Chicken, Braised Ee Fu Noodles, chye Sim, Carrot",100,166,60.24,107,159,67.3,Chicken
BKK CDG,2025-04-18,Friday,Y,Dinner,5C22 BKK FFM Grilled Chicken Breast with Thyme Jus,102,169,60.36,111,169,65.68,Chicken
BKK CDG,2025-04-18,Friday,Y,Dinner,"5C19 BKK FFM Fish in Hot Bean Sauce, Braised Noodles, oriental Veg",67,169,39.64,58,169,34.32,Seafood
BKK CDG,2025-04-18,Friday,Y,Lunch,"5C19 BKK FFM Ginger Spring Onion Chicken, Braised Ee Fu Noodles, chye Sim, Carrot",102,169,60.36,114,169,67.46,Chicken
BKK CDG,2025-04-18,Friday,Y,Lunch,5C19 BKK FFM Baked Fish with Herbed Sauce,67,169,39.64,55,169,32.54,Seafood
BKK CDG,2025-04-19,Saturday,Y,Dinner,"5C19 BKK FFM Fish in Hot Bean Sauce, Braised Noodles, oriental Veg",66,167,39.52,58,169,34.32,Seafood
BKK CDG,2025-04-19,Saturday,Y,Dinner,5C22 BKK FFM Grilled Chicken Breast with Thyme Jus,101,167,60.48,111,169,65.68,Chicken
BKK CDG,2025-04-19,Saturday,Y,Lunch,5C19 BKK FFM Baked Fish with Herbed Sauce,66,167,39.52,55,169,32.54,Seafood
BKK CDG,2025-04-19,Saturday,Y,Lunch,"5C19 BKK FFM Ginger Spring Onion Chicken, Braised Ee Fu Noodles, chye Sim, Carrot",101,167,60.48,114,169,67.46,Chicken
BKK CDG,2025-04-20,Sunday,Y,Dinner,5C22 BKK FFM Grilled Chicken Breast with Thyme Jus,94,156,60.26,103,156,66.03,Chicken
BKK CDG,2025-04-20,Sunday,Y,Dinner,"5C19 BKK FFM Fish in Hot Bean Sauce, Braised Noodles, oriental Veg",62,156,39.74,53,156,33.97,Seafood
BKK CDG,2025-04-20,Sunday,Y,Lunch,5C19 BKK FFM Baked Fish with Herbed Sauce,62,156,39.74,53,156,33.97,Seafood
BKK CDG,2025-04-20,Sunday,Y,Lunch,"5C19 BKK FFM Ginger Spring Onion Chicken, Braised Ee Fu Noodles, chye Sim, Carrot",94,156,60.26,103,156,66.03,Chicken
BKK CDG,2025-04-21,Monday,Y,Dinner,"5C19 BKK FFM Fish in Hot Bean Sauce, Braised Noodles, oriental Veg",66,166,39.76,56,167,33.53,Seafood
BKK CDG,2025-04-21,Monday,Y,Dinner,5C22 BKK FFM Grilled Chicken Breast with Thyme Jus,100,166,60.24,111,167,66.47,Chicken
BKK CDG,2025-04-21,Monday,Y,Lunch,5C19 BKK FFM Baked Fish with Herbed Sauce,66,166,39.76,54,167,32.34,Seafood
BKK CDG,2025-04-21,Monday,Y,Lunch,"5C19 BKK FFM Ginger Spring Onion Chicken, Braised Ee Fu Noodles, chye Sim, Carrot",100,166,60.24,113,167,67.66,Chicken
BKK CDG,2025-04-22,Tuesday,Y,Dinner,5C22 BKK FFM Grilled Chicken Breast with Thyme Jus,100,166,60.24,111,171,64.91,Chicken
BKK CDG,2025-04-22,Tuesday,Y,Dinner,"5C19 BKK FFM Fish in Hot Bean Sauce, Braised Noodles, oriental Veg",66,166,39.76,60,171,35.09,Seafood
BKK CDG,2025-04-22,Tuesday,Y,Lunch,5C19 BKK FFM Baked Fish with Herbed Sauce,66,166,39.76,57,171,33.33,Seafood
BKK CDG,2025-04-22,Tuesday,Y,Lunch,"5C19 BKK FFM Ginger Spring Onion Chicken, Braised Ee Fu Noodles, chye Sim, Carrot",100,166,60.24,114,171,66.67,Chicken
BKK CDG,2025-04-23,Wednesday,Y,Dinner,5C22 BKK FFM Grilled Chicken Breast with Thyme Jus,109,181,60.22,117,175,66.86,Chicken
BKK CDG,2025-04-23,Wednesday,Y,Dinner,"5C19 BKK FFM Fish in Hot Bean Sauce, Braised Noodles, oriental Veg",72,181,39.78,58,175,33.14,Seafood
BKK CDG,2025-04-23,Wednesday,Y,Lunch,5C19 BKK FFM Baked Fish with Herbed Sauce,72,181,39.78,57,175,32.57,Seafood
BKK CDG,2025-04-23,Wednesday,Y,Lunch,"5C19 BKK FFM Ginger Spring Onion Chicken, Braised Ee Fu Noodles, chye Sim, Carrot",109,181,60.22,118,175,67.43,Chicken
BKK CDG,2025-04-24,Thursday,Y,Dinner,"5C19 BKK FFM Fish in Hot Bean Sauce, Braised Noodles, oriental Veg",65,164,39.63,55,161,34.16,Seafood
BKK CDG,2025-04-24,Thursday,Y,Dinner,5C22 BKK FFM Grilled Chicken Breast with Thyme Jus,99,164,60.37,106,161,65.84,Chicken
BKK CDG,2025-04-24,Thursday,Y,Lunch,"5C19 BKK FFM Ginger Spring Onion Chicken, Braised Ee Fu Noodles, chye Sim, Carrot",99,164,60.37,108,161,67.08,Chicken
BKK CDG,2025-04-24,Thursday,Y,Lunch,5C19 BKK FFM Baked Fish with Herbed Sauce,65,164,39.63,53,161,32.92,Seafood
BKK CDG,2025-04-25,Friday,Y,Dinner,5C22 BKK FFM Grilled Chicken Breast with Thyme Jus,103,171,60.23,116,176,65.91,Chicken
BKK CDG,2025-04-25,Friday,Y,Dinner,"5C19 BKK FFM Fish in Hot Bean Sauce, Braised Noodles, oriental Veg",68,171,39.77,60,176,34.09,Seafood
BKK CDG,2025-04-25,Friday,Y,Lunch,5C19 BKK FFM Baked Fish with Herbed Sauce,68,171,39.77,59,176,33.52,Seafood
BKK CDG,2025-04-25,Friday,Y,Lunch,"5C19 BKK FFM Ginger Spring Onion Chicken, Braised Ee Fu Noodles, chye Sim, Carrot",103,171,60.23,117,176,66.48,Chicken
BKK CDG,2025-04-26,Saturday,Y,Dinner,"5C19 BKK FFM Fish in Hot Bean Sauce, Braised Noodles, oriental Veg",68,170,40.0,55,172,31.98,Seafood
BKK CDG,2025-04-26,Saturday,Y,Dinner,5C22 BKK FFM Grilled Chicken Breast with Thyme Jus,102,170,60.0,117,172,68.02,Chicken
BKK CDG,2025-04-26,Saturday,Y,Lunch,"5C19 BKK FFM Ginger Spring Onion Chicken, Braised Ee Fu Noodles, chye Sim, Carrot",102,170,60.0,118,172,68.6,Chicken
BKK CDG,2025-04-26,Saturday,Y,Lunch,5C19 BKK FFM Baked Fish with Herbed Sauce,68,170,40.0,54,172,31.4,Seafood
BKK CDG,2025-04-27,Sunday,Y,Dinner,5C22 BKK FFM Grilled Chicken Breast with Thyme Jus,108,180,60.0,117,181,64.64,Chicken
BKK CDG,2025-04-27,Sunday,Y,Dinner,"5C19 BKK FFM Fish in Hot Bean Sauce, Braised Noodles, oriental Veg",72,180,40.0,64,181,35.36,Seafood
BKK CDG,2025-04-27,Sunday,Y,Lunch,5C19 BKK FFM Baked Fish with Herbed Sauce,72,180,40.0,61,181,33.7,Seafood
BKK CDG,2025-04-27,Sunday,Y,Lunch,"5C19 BKK FFM Ginger Spring Onion Chicken, Braised Ee Fu Noodles, chye Sim, Carrot",108,180,60.0,120,181,66.3,Chicken
BKK CDG,2025-04-28,Monday,Y,Dinner,"5C19 BKK FFM Fish in Hot Bean Sauce, Braised Noodles, oriental Veg",67,168,39.88,58,164,35.37,Seafood
BKK CDG,2025-04-28,Monday,Y,Dinner,5C22 BKK FFM Grilled Chicken Breast with Thyme Jus,101,168,60.12,106,164,64.63,Chicken
BKK CDG,2025-04-28,Monday,Y,Lunch,"5C19 BKK FFM Ginger Spring Onion Chicken, Braised Ee Fu Noodles, chye Sim, Carrot",101,168,60.12,106,164,64.63,Chicken
BKK CDG,2025-04-28,Monday,Y,Lunch,5C19 BKK FFM Baked Fish with Herbed Sauce,67,168,39.88,58,164,35.37,Seafood
BKK CDG,2025-04-29,Tuesday,Y,Dinner,5C22 BKK FFM Grilled Chicken Breast with Thyme Jus,99,164,60.37,108,161,67.08,Chicken
BKK CDG,2025-04-29,Tuesday,Y,Dinner,"5C19 BKK FFM Fish in Hot Bean Sauce, Braised Noodles, oriental Veg",65,164,39.63,53,161,32.92,Seafood
BKK CDG,2025-04-29,Tuesday,Y,Lunch,5C19 BKK FFM Baked Fish with Herbed Sauce,65,164,39.63,52,161,32.3,Seafood
BKK CDG,2025-04-29,Tuesday,Y,Lunch,"5C19 BKK FFM Ginger Spring Onion Chicken, Braised Ee Fu Noodles, chye Sim, Carrot",99,164,60.37,109,161,67.7,Chicken
BKK CDG,2025-04-30,Wednesday,Y,Dinner,"5C19 BKK FFM Fish in Hot Bean Sauce, Braised Noodles, oriental Veg",69,174,39.66,57,176,32.39,Seafood
BKK CDG,2025-04-30,Wednesday,Y,Dinner,5C22 BKK FFM Grilled Chicken Breast with Thyme Jus,105,174,60.34,119,176,67.61,Chicken
BKK CDG,2025-04-30,Wednesday,Y,Lunch,5C19 BKK FFM Baked Fish with Herbed Sauce,69,174,39.66,56,176,31.82,Seafood
BKK CDG,2025-04-30,Wednesday,Y,Lunch,"5C19 BKK FFM Ginger Spring Onion Chicken, Braised Ee Fu Noodles, chye Sim, Carrot",105,174,60.34,120,176,68.18,Chicken
BKK CDG,2025-05-01,Thursday,Y,Dinner,"5C22 BKK FFM Chicken Ragout w Mush cream sc, pumpkin & carrot",101,167,60.48,113,167,67.66,Chicken
BKK CDG,2025-05-01,Thursday,Y,Dinner,"5C19 BKK LRG Deep Fried Fish with garlic ginger sc, mix cargo rice, oriental veg",66,167,39.52,54,167,32.34,Seafood
BKK CDG,2025-05-01,Thursday,Y,Lunch,5C24 BKK FFM Soy Garlic Chicken Noodles,101,167,60.48,113,167,67.66,Chicken
BKK CDG,2025-05-01,Thursday,Y,Lunch,"5C24 BKK LRG Baked Fish, Mush Crm Sc, Herb Potato Mash, Ratatouille, Broccoli",66,167,39.52,54,167,32.34,Seafood
BKK CDG,2025-05-02,Friday,Y,Dinner,"5C19 BKK LRG Deep Fried Fish with garlic ginger sc, mix cargo rice, oriental veg",66,167,39.52,55,154,35.71,Seafood
BKK CDG,2025-05-02,Friday,Y,Dinner,"5C22 BKK FFM Chicken Ragout w Mush cream sc, pumpkin & carrot",101,167,60.48,99,154,64.29,Chicken
BKK CDG,2025-05-02,Friday,Y,Lunch,5C24 BKK FFM Soy Garlic Chicken Noodles,101,167,60.48,101,154,65.58,Chicken
BKK CDG,2025-05-02,Friday,Y,Lunch,"5C24 BKK LRG Baked Fish, Mush Crm Sc, Herb Potato Mash, Ratatouille, Broccoli",66,167,39.52,53,154,34.42,Seafood
BKK CDG,2025-05-03,Saturday,Y,Dinner,"5C19 BKK LRG Deep Fried Fish with garlic ginger sc, mix cargo rice, oriental veg",66,166,39.76,55,170,32.35,Seafood
BKK CDG,2025-05-03,Saturday,Y,Dinner,"5C22 BKK FFM Chicken Ragout w Mush cream sc, pumpkin & carrot",100,166,60.24,115,170,67.65,Chicken
