segment,segment_local_departure_date,weekday,cabin_class,meal_time,meal_name,original_meal_count,original_passengers,original_percent,predicted_meal_count,predicted_total_passengers,predicted_percentage,protein_type
BKK MAA,2025-05-04,Sunday,Y,Dinner,"5C19 BKK LRG Mixed Vegetables in Coconut Sauce, Black eye bean with Brinjal, Steamed Basmati Rice",68,169,40.24,46,175,26.29,Vegetarian
BKK MAA,2025-05-04,Sunday,Y,Dinner,"5C24 BKK FFM Fish Arrabiata with Fusilli Pasta, Mushrooms and Eggplant",51,169,30.18,47,175,26.86,Seafood
BKK MAA,2025-05-05,Monday,Y,Dinner,"5C19 BKK LRG Mixed Vegetables in Coconut Sauce, Black eye bean with Brinjal, Steamed Basmati Rice",66,164,40.24,42,168,25.0,Vegetarian
BKK MAA,2025-05-05,Monday,Y,Dinner,"5C24 BKK FFM Madras Chicken with Steamed Rice, Carrot Corn Poriyal",49,164,29.88,81,168,48.21,Chicken
BKK MAA,2025-05-05,Monday,Y,Dinner,"5C24 BKK FFM Fish Arrabiata with Fusilli Pasta, Mushrooms and Eggplant",49,164,29.88,45,168,26.79,Seafood
BKK MAA,2025-05-06,Tuesday,Y,Dinner,"5C24 BKK FFM Fish Arrabiata with Fusilli Pasta, Mushrooms and Eggplant",51,169,30.18,37,153,24.18,Seafood
BKK MAA,2025-05-06,Tuesday,Y,Dinner,"5C24 BKK FFM Madras Chicken with Steamed Rice, Carrot Corn Poriyal",50,169,29.59,71,153,46.41,Chicken
BKK MAA,2025-05-06,Tuesday,Y,Dinner,"5C19 BKK LRG Mixed Vegetables in Coconut Sauce, Black eye bean with Brinjal, Steamed Basmati Rice",68,169,40.24,45,153,29.41,Vegetarian
BKK MAA,2025-05-07,Wednesday,Y,Dinner,"5C24 BKK FFM Fish Arrabiata with Fusilli Pasta, Mushrooms and Eggplant",53,177,29.94,44,176,25.0,Seafood
BKK MAA,2025-05-07,Wednesday,Y,Dinner,"5C19 BKK LRG Mixed Vegetables in Coconut Sauce, Black eye bean with Brinjal, Steamed Basmati Rice",71,177,40.11,49,176,27.84,Vegetarian
BKK MAA,2025-05-07,Wednesday,Y,Dinner,"5C24 BKK FFM Madras Chicken with Steamed Rice, Carrot Corn Poriyal",53,177,29.94,83,176,47.16,Chicken
BKK MAA,2025-05-08,Thursday,Y,Dinner,"5C24 BKK FFM Madras Chicken with Steamed Rice, Carrot Corn Poriyal",51,171,29.82,81,174,46.55,Chicken
BKK MAA,2025-05-08,Thursday,Y,Dinner,"5C24 BKK FFM Fish Arrabiata with Fusilli Pasta, Mushrooms and Eggplant",51,171,29.82,42,174,24.14,Seafood
BKK MAA,2025-05-08,Thursday,Y,Dinner,"5C19 BKK LRG Mixed Vegetables in Coconut Sauce, Black eye bean with Brinjal, Steamed Basmati Rice",69,171,40.35,51,174,29.31,Vegetarian
BKK MAA,2025-05-09,Friday,Y,Dinner,"5C24 BKK FFM Madras Chicken with Steamed Rice, Carrot Corn Poriyal",58,196,29.59,90,190,47.37,Chicken
BKK MAA,2025-05-09,Friday,Y,Dinner,"5C24 BKK FFM Fish Arrabiata with Fusilli Pasta, Mushrooms and Eggplant",59,196,30.1,46,190,24.21,Seafood
BKK MAA,2025-05-09,Friday,Y,Dinner,"5C19 BKK LRG Mixed Vegetables in Coconut Sauce, Black eye bean with Brinjal, Steamed Basmati Rice",79,196,40.31,54,190,28.42,Vegetarian
BKK MAA,2025-05-10,Saturday,Y,Dinner,"5C24 BKK FFM Fish Arrabiata with Fusilli Pasta, Mushrooms and Eggplant",57,191,29.84,46,185,24.86,Seafood
BKK MAA,2025-05-10,Saturday,Y,Dinner,"5C24 BKK FFM Madras Chicken with Steamed Rice, Carrot Corn Poriyal",57,191,29.84,82,185,44.32,Chicken
BKK MAA,2025-05-10,Saturday,Y,Dinner,"5C19 BKK LRG Mixed Vegetables in Coconut Sauce, Black eye bean with Brinjal, Steamed Basmati Rice",77,191,40.31,57,185,30.81,Vegetarian
BKK MAA,2025-05-11,Sunday,Y,Dinner,"5C24 BKK FFM Fish Arrabiata with Fusilli Pasta, Mushrooms and Eggplant",62,206,30.1,53,201,26.37,Seafood
BKK MAA,2025-05-11,Sunday,Y,Dinner,"5C24 BKK FFM Madras Chicken with Steamed Rice, Carrot Corn Poriyal",61,206,29.61,94,201,46.77,Chicken
BKK MAA,2025-05-11,Sunday,Y,Dinner,"5C19 BKK LRG Mixed Vegetables in Coconut Sauce, Black eye bean with Brinjal, Steamed Basmati Rice",83,206,40.29,54,201,26.87,Vegetarian
BKK MAA,2025-05-12,Monday,Y,Dinner,"5C19 BKK LRG Mixed Vegetables in Coconut Sauce, Black eye bean with Brinjal, Steamed Basmati Rice",81,201,40.3,58,204,28.43,Vegetarian
BKK MAA,2025-05-12,Monday,Y,Dinner,"5C24 BKK FFM Fish Arrabiata with Fusilli Pasta, Mushrooms and Eggplant",60,201,29.85,51,204,25.0,Seafood
BKK MAA,2025-05-12,Monday,Y,Dinner,"5C24 BKK FFM Madras Chicken with Steamed Rice, Carrot Corn Poriyal",60,201,29.85,95,204,46.57,Chicken
